"longitude","latitude","landuse","mean_temp","mean_pres","site_id","MOCH","MOBL","LEWO","BBMW","Evergreen_forest","Open_shrub","Wood_sav","Sav","Grass","crop","urban"
-122.5597336,39.0030537,7,144.91667175293,54.75,234,0,0,0,0,0,1,0,0,0,0,0
-122.591629,41.322241,10,40.9166679382324,83.0833358764648,236,0,0,0,0,0,0,0,0,1,0,0
-122.515583,38.0274109,10,143.16667175293,76.9166641235352,242,0,0,0,0,0,0,0,0,1,0,0
-122.5211406,38.2050801,8,142.33332824707,65.4166641235352,243,0,0,0,0,0,0,1,0,0,0,0
-122.5148964,38.3596955,8,145.16667175293,69,244,0,0,0,0,0,0,1,0,0,0,0
-122.5079441,38.3750725,8,143.08332824707,75.6666641235352,245,0,0,0,0,0,0,1,0,0,0,0
-122.5183296,38.4384637,8,138.08332824707,88.75,246,0,0,0,0,0,0,1,0,0,0,0
-122.5291443,38.5454803,1,145.25,80.4166641235352,247,0,0,0,0,1,0,0,0,0,0,0
-122.5028801,38.8800759,8,132.66667175293,73.5,248,0,0,0,0,0,0,1,0,0,0,0
-122.5353658,38.9839723,9,145.33332824707,54.9166679382324,249,0,0,0,0,0,0,0,1,0,0,0
-122.5083733,39.0660476,8,133.75,64.75,250,0,0,0,0,0,0,1,0,0,0,0
-122.5337791,39.0824393,8,140.41667175293,54.9166679382324,251,0,0,0,0,0,0,1,0,0,0,0
-122.526741,39.6245652,10,154.58332824707,43.5833320617676,252,0,0,1,0,0,0,0,0,1,0,0
-122.5212264,41.3349798,1,39.1666679382324,82.1666641235352,253,0,0,0,0,1,0,0,0,0,0,0
-122.4808909,37.5102575,13,127.666664123535,55.5,254,0,0,0,0,0,0,0,0,0,0,1
-122.474151,37.7662772,13,136.33332824707,53.25,256,0,0,1,0,0,0,0,0,0,0,1
-122.4556357,37.7970641,13,139.66667175293,49.5,257,0,0,0,0,0,0,0,0,0,0,1
-122.4602008,38.1838231,9,144.33332824707,63.25,260,0,0,0,0,0,0,0,1,0,0,0
-122.4963731,38.4368292,8,137.16667175293,89.5,261,0,0,0,0,0,0,1,0,0,0,0
-122.495327,38.4894054,8,146.33332824707,76,262,0,0,0,0,0,0,1,0,0,0,0
-122.4861002,38.6054689,8,134.16667175293,87.5833358764648,263,0,0,0,0,0,0,1,0,0,0,0
-122.4666595,39.0138487,9,132.91667175293,67.5,264,0,0,0,0,0,0,0,1,0,0,0
-122.4664879,39.0456526,8,132.5,67.75,265,0,0,0,0,0,0,1,0,0,0,0
-122.4979019,40.4930456,8,164.08332824707,93.0833358764648,266,0,0,0,0,0,0,1,0,0,0,0
-122.4756289,40.524826,8,163.25,99.5833358764648,267,0,0,0,0,0,0,1,0,0,0,0
-122.4561936,40.5872416,8,165.33332824707,103.833335876465,268,0,0,0,0,0,0,1,0,0,0,0
-122.497942,41.187924,1,42.0833320617676,85.25,269,0,0,0,0,1,0,0,0,0,0,0
-122.4940395,41.6988076,10,108.916664123535,46.8333320617676,270,0,0,0,0,0,0,0,0,1,0,0
-122.426473,37.716777,13,137.5,48.4166679382324,271,0,0,0,0,0,0,0,0,0,0,1
-122.444365,37.755406,13,133.91667175293,65.1666641235352,272,0,0,0,0,0,0,0,0,0,0,1
-122.4285775,37.8060065,13,141.75,47.5833320617676,273,0,0,1,0,0,0,0,0,0,0,1
